CNPJ,ESPECIALIDADE
811249000187,Brasileira | Cozinha regional | Italiana
813997000107,Brasileira
815486000116,Italiana | Árabe
821105000101,Brasileira
827430000181,Brasileira | Cozinha regional
830164000146,Cozinha regional
831448000157,Brasileira
835900000159,Cozinha regional
840073000191,Japonesa
846742000132,Cozinha regional | Portuguesa
847179000117,Brasileira | Cozinha regional
849393000102,Cozinha regional
855741000154,Brasileira
860723000160,Cozinha regional
860951000130,Brasileira
861041000172,Brasileira
867203000180,Árabe
867999000170,Cozinha regional
873989000148,Brasileira
874830000148,Chinesa | Japonesa
883975000105,Italiana
883975000296,Italiana
885876000162,Brasileira
889782000161,Brasileira
889858000159,Brasileira | Cozinha regional
893166000184,Brasileira
898335000179,Portuguesa
899490000100,Italiana | Árabe
899494000198,Italiana | Árabe
900578000102,Brasileira
902733000111,Brasileira
906825000170,Brasileira
912112000119,Cozinha regional
912929000197,Italiana | Árabe
920509000152,Cozinha regional
932072000177,Brasileira
934922000176,Brasileira
936254000116,Brasileira | Cozinha regional
937804000111,Brasileira
938877000128,Brasileira | Italiana
939190000107,Italiana
941379000134,Brasileira | Italiana
942272000100,Brasileira
942689000173,Brasileira
943010000160,Brasileira
954266000173,Brasileira
958664000168,Brasileira
961770000109,Brasileira
966053000161,Brasileira
966157000176,Brasileira | Cozinha regional
966446000175,Brasileira | Cozinha regional
967596000101,Cozinha regional
970717000166,Alemã
972919000147,Cozinha regional
975830000134,Cozinha regional
987902000163,Brasileira | Italiana
988496000153,Brasileira
989563000154,Brasileira | Cozinha regional | Italiana
990327000158,Brasileira | Cozinha regional
992122000101,Francesa
993533000111,Brasileira | Cozinha regional
997916000168,Brasileira
998496000134,Brasileira
1000181000119,Brasileira
1002248000154,Brasileira | Cozinha regional
1007816000100,Alemã | Cozinha regional | Italiana
1009348000102,Francesa
1014573000137,Brasileira
1019828000154,Brasileira | Cozinha regional
1020616000197,Brasileira
1022978000117,Italiana | Árabe
1031452000101,Cozinha regional
1032295000140,Brasileira
1033670000177,Brasileira | Espanhola | Italiana
1034591000180,Brasileira | Cozinha regional
1035844000130,Brasileira
1036337000111,Italiana
1038133000110,Brasileira | Cozinha regional
1039865000205,Americana | Brasileira
1039865000639,Brasileira
1040391000130,Brasileira
1043114000181,Brasileira | Cozinha regional
1043159000156,Brasileira | Cozinha regional | Italiana
1047648000186,Brasileira
1047793000167,Americana
1052517000197,Brasileira
1061991000185,Brasileira
1062891000173,Brasileira
1065350000107,Brasileira
1074302000177,Brasileira
1075567000190,Brasileira
1077953000110,Brasileira | Cozinha regional
1080519000190,Brasileira | Árabe
1081429000113,Brasileira | Italiana | Portuguesa
1082080000134,Brasileira
1083422000130,Americana | Brasileira | Cozinha regional
1084728000101,Brasileira
1085428000147,Cozinha regional
1093811000147,Brasileira | Cozinha regional | Italiana
1095224000197,Cozinha regional
1095461000158,Brasileira | Italiana
1097800000135,Asiática
1101102000166,Brasileira
1104895000177,Americana
1106583000100,Brasileira
1109532000124,Japonesa
1114627000136,Cozinha regional | Portuguesa
1116583000183,Brasileira
1116583000507,Brasileira
1116583000850,Brasileira
1117697000148,Asiática
1130168000265,Árabe
1130243000107,Brasileira | Chinesa | Japonesa
1152509000112,Argentina | Brasileira | Japonesa
1157147000152,Brasileira
1159209000165,Chinesa
1166507000182,Brasileira | Cozinha regional
1167296000100,Brasileira
1168151000116,Brasileira | Italiana
1171696000181,Cozinha regional | Italiana
1171898000123,Brasileira | Cozinha regional | Portuguesa
1173871000170,Brasileira | Cozinha regional
1174574000149,Brasileira | Japonesa | Árabe
1182204000153,Brasileira
1182300000100,Brasileira | Chinesa | Japonesa
1185590000137,Brasileira | Japonesa
1185595000240,Cozinha regional | Italiana | Portuguesa
1195650000100,Brasileira
1201906000137,Brasileira
1204382000138,Brasileira
1206841000112,Brasileira
1207148000164,Brasileira | Cozinha regional
1212239000198,Brasileira | Japonesa
1212767000147,Italiana
1226112000128,Brasileira | Cozinha regional
1234635000116,Brasileira
1252578000106,Brasileira | Cozinha regional
1253502000197,Brasileira | Cozinha regional
1257318000115,Brasileira
1257540000118,Brasileira
1261392000105,Brasileira
1271789000188,Brasileira | Cozinha regional
1274475000139,Brasileira
1277666000154,Brasileira | Cozinha regional
1282978000156,Brasileira
1285305000150,Brasileira
1286477000148,Brasileira
1290917000130,Brasileira
1293509000132,Americana | Brasileira
1298710000102,Brasileira
1306134000106,Brasileira
1308349000158,Brasileira
1311882000179,Brasileira
1312996000133,Chinesa | Japonesa
1314630000101,Brasileira
1316609000137,Brasileira | Japonesa
1323420000171,Brasileira | Italiana
1323899000146,Italiana | Árabe
1325136000134,Italiana
1330829000115,Brasileira
1336495000197,Brasileira
1344271000127,Brasileira | Cozinha regional
1346360000102,Brasileira
1349186000151,Brasileira
1349609000133,Brasileira
1353169000198,Brasileira
1354466000158,Cozinha regional | Francesa | Italiana
1358634000183,Americana | Brasileira
1358634000264,Americana | Brasileira
1358634000345,Americana | Brasileira
1358634000426,Americana | Brasileira
1358637000117,Americana | Brasileira
1367632000150,Brasileira | Cozinha regional
1370249000151,Italiana | Árabe
1373098000195,Brasileira | Cozinha regional
1383061000148,Brasileira
1384145000104,Brasileira
1389023000100,Brasileira
1390674000102,Brasileira
1391437000166,Cozinha regional
1397851000182,Americana
1397851000263,Americana
1397851000425,Americana
1397851000506,Americana
1397851000778,Americana
1405124000110,Brasileira
1405279000156,Portuguesa
1408982000118,Brasileira
1409908000116,Italiana | Árabe
1418153000116,Brasileira
1421473000125,Brasileira
1422664000101,Americana
1422664000292,Americana
1422664000373,Americana
1422664000454,Americana
1422664000705,Americana
1422664000888,Americana
1422664000969,Americana
1422664001000,Americana
1422664001183,Americana
1422664001264,Americana
1422664001426,Americana
1422664001507,Americana
1422664001698,Americana
1422664001779,Americana
1422664001850,Americana
1422664001930,Americana
1422664002074,Americana
1422664002155,Americana
1422664002236,Americana
1422664002317,Americana
1427909000193,Portuguesa
1434608000197,Brasileira
1436334000175,Brasileira | Cozinha regional
1437777000180,Brasileira
1440952000199,Brasileira
1441296000149,Tailandesa
1447320000157,Italiana
1448939000186,Brasileira
1460150000140,Cozinha regional | Portuguesa | Árabe
1467439000191,Americana
1467439000353,Americana
1472212000134,Brasileira | Cozinha regional
1473851000114,Brasileira
1477171000179,Chinesa | Japonesa
1477466000145,Americana
1477466000307,Americana
1477466000498,Americana
1477466000579,Americana
1477466000650,Americana
1477466001117,Americana
1477466001206,Americana
1477466001389,Americana
1477466001460,Americana
1477466001540,Americana
1484830000102,Brasileira | Cozinha regional
1491039000111,Brasileira
1495477000158,Brasileira | Portuguesa
1506558000106,Brasileira
1506917000125,Brasileira
1511761000170,Alemã | Brasileira
1513851000109,Brasileira
1523486000105,Americana | Brasileira
1523808000116,Brasileira
1524963000157,Brasileira | Cozinha regional
1524963000408,Brasileira | Cozinha regional
1524963000580,Brasileira | Cozinha regional
1524963000661,Brasileira | Cozinha regional
1524963000904,Brasileira | Cozinha regional
1524963001048,Brasileira | Cozinha regional
1525247000194,Brasileira | Cozinha regional
1525323000161,Americana
1525323000242,Americana
1525323000323,Americana
1525323000404,Americana
1525323000595,Americana
1525323000757,Americana
1525323001052,Americana
1525323001303,Americana
1525323001486,Americana
1525323001567,Americana
1525323001648,Americana
1525323001729,Americana
1525323002024,Americana
1525323002296,Americana
1525323002377,Americana
1525323002539,Americana
1525323002610,Americana
1525323002709,Americana
1525323002881,Americana
1525323002962,Americana
1525323003004,Americana
1525323003187,Americana
1525323003268,Americana
1525323003349,Americana
1525323003420,Americana
1525323003500,Americana
1525323003691,Americana
1525323003772,Americana
1525323003853,Americana
1525323004078,Americana
1525323004159,Americana
1525323004230,Americana
1525323004310,Americana
1525323004400,Americana
1525323004582,Americana
1525323004663,Americana
1525323004744,Americana
1525323004906,Americana
1525323005040,Americana
1525323005120,Americana
1540975000175,Cozinha regional
1546949000154,Brasileira | Japonesa | Árabe
1549561000107,Brasileira | Cozinha regional
1553343000146,Brasileira | Cozinha regional | Italiana
1561171000152,Brasileira | Chinesa
1566318000105,Brasileira
1571127000123,Brasileira
1572652000163,Brasileira
1572830000156,Brasileira
1577773000106,Brasileira
1582206000130,Brasileira
1588954000120,Brasileira | Cozinha regional
1593471000113,Brasileira | Cozinha regional
1594132000151,Brasileira | Portuguesa
1600502000116,Brasileira
1602520000137,Italiana
1604513000174,Brasileira
1609436000145,Brasileira | Italiana
1613034000114,Brasileira | Cozinha regional
1619986000145,Brasileira
1625205000125,Brasileira
1631311000111,Americana
1631311000464,Americana
1631311000545,Americana
1631311000626,Americana
1631311000707,Americana
1631311000898,Americana
1631311000979,Americana
1631457000167,Brasileira
1632854000153,Italiana | Árabe
1634140000184,Brasileira | Cozinha regional
1634225000162,Italiana | Árabe
1636239000115,Cozinha regional
1639162000137,Italiana | Árabe
1639337000106,Brasileira
1640719000150,Italiana | Árabe
1640723000118,Italiana | Árabe
1647191000140,Brasileira | Portuguesa
1657685000106,Cozinha regional
1660693000101,Cozinha regional
1663782000101,Brasileira
1679099000243,Brasileira | Cozinha regional | Espanhola
1679943000155,Brasileira
1680347000195,Cozinha regional
1681886000149,Brasileira | Cozinha regional
1687633000182,Brasileira | Italiana
1687633000344,Brasileira | Italiana
1692076000198,Cozinha regional
1694310000116,Alemã | Argentina | Espanhola
1695252000145,Brasileira
1695404000100,Árabe
1703837000160,Alemã | Brasileira | Cozinha regional
1705224000161,Brasileira
1706341000220,Brasileira
1706951000143,Brasileira
1710041000134,Brasileira
1713345000155,Brasileira
1715469000170,Brasileira
1722217000178,Brasileira
1728967000157,Cozinha regional
1729739000100,Brasileira | Italiana
1731973000163,Brasileira
1735029000184,Brasileira
1737835000191,Brasileira
1738195000134,Brasileira | Cozinha regional
1738672000161,Brasileira | Cozinha regional
1738727000133,Brasileira
1740041000187,Brasileira
1743714000152,Brasileira
1744129000177,Brasileira
1744129000339,Brasileira
1744129000410,Brasileira
1744129000681,Brasileira | Cozinha regional | Italiana
1744129000762,Brasileira
1744129000843,Brasileira
1744129000924,Brasileira
1747578000179,Brasileira | Cozinha regional
1748790000150,Americana
1749429000149,Brasileira | Cozinha regional
1757829000104,Americana
1757829000449,Americana
1757829000520,Americana
1757829000600,Americana
1757829001259,Americana
1758016000120,Americana
1758016000201,Americana
1758016000392,Americana
1758016000554,Americana
1762660000172,Brasileira
1764484000108,Japonesa
1766899000110,Brasileira | Cozinha regional
1774589000148,Brasileira | Cozinha regional
1774872000170,Chinesa
1778978000141,Brasileira | Cozinha regional
1782068000132,Brasileira | Cozinha regional
1784462000100,Italiana
1786467000171,Brasileira | Cozinha regional | Italiana
1788904000196,Italiana | Árabe
1789345000139,Brasileira
1790544000167,Alemã | Cozinha regional
1790878000130,Brasileira | Cozinha regional
1793112000100,Chinesa | Japonesa
1799351000177,Japonesa
1801974000137,Brasileira | Cozinha regional
1802358000109,Italiana | Árabe
1803125000112,Brasileira
1807375000120,Brasileira | Italiana | Portuguesa
1811546000195,Cozinha regional
1813699000171,Brasileira
1815787000102,Brasileira | Cozinha regional | Japonesa
1817866000152,Brasileira
1817866000233,Brasileira
1817866000314,Brasileira
1818213000198,Brasileira
1832636000162,Brasileira
1832636000324,Brasileira
1832636000596,Brasileira
1832636000677,Brasileira
1833767000164,Brasileira
1836357000177,Brasileira
1836357000509,Brasileira
1836357000681,Brasileira
1836357000924,Brasileira
1836357001068,Brasileira
1836357001149,Brasileira
1836357001220,Brasileira
1836357001491,Brasileira
1836357001572,Brasileira
1836357001653,Brasileira
1836357001734,Brasileira
1836357001815,Brasileira
1836357001904,Brasileira
1849187000165,Brasileira
1852948000138,Brasileira | Cozinha regional
1853828000155,Tailandesa
1854002000100,Brasileira
1855630000100,Brasileira | Cozinha regional
1857198000197,Brasileira
1863639000163,Japonesa
